Table 130-06601 : Domestic households by household size,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Household size (1),,1,1,2,2,3,3,4,4,5,5,6 and over,6 and over,Total,Total
 , ,Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2),Domestic households (2)
,,No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%)
Year,Quarter,,,,,,,,,,,,,,
1985,,206.4,14.6,220.5,15.6,234.6,16.5,292.7,20.6,222.4,15.7,241.2,17.0,1417.7,100.0
1986,,213.6,14.5,236.0,16.0,254.8,17.3,316.5,21.5,226.8,15.4,225.4,15.3,1473.1,100.0
1987,,209.4,14.0,236.2,15.8,258.5,17.3,334.5,22.4,238.6,15.9,218.9,14.6,1496.1,100.0
1988,,223.8,14.6,247.5,16.1,270.4,17.6,340.3,22.2,240.4,15.7,210.2,13.7,1532.6,100.0
1989,,204.7,13.2,255.4,16.5,283.5,18.3,361.8,23.4,242.7,15.7,200.8,13.0,1549.0,100.0
1990,,201.6,12.9,261.6,16.8,291.8,18.7,371.7,23.8,238.3,15.3,193.9,12.4,1559.0,100.0
1991,,210.1,13.1,276.6,17.3,308.7,19.3,386.3,24.1,241.6,15.1,178.7,11.2,1601.9,100.0
1992,,210.6,12.9,291.2,17.8,321.8,19.7,398.2,24.4,242.6,14.9,169.1,10.4,1633.5,100.0
1993,,217.9,13.0,300.7,17.9,335.8,20.0,402.0,24.0,258.7,15.4,162.6,9.7,1677.7,100.0
1994,,224.9,13.0,313.8,18.1,343.2,19.9,425.9,24.6,258.7,15.0,162.6,9.4,1729.1,100.0
1995,,230.2,12.9,325.6,18.3,354.3,19.9,455.6,25.6,265.8,14.9,151.6,8.5,1783.0,100.0
1996,,244.0,13.1,352.7,18.9,383.2,20.6,471.0,25.3,266.1,14.3,147.5,7.9,1864.5,100.0
1997,,261.7,13.6,379.7,19.7,388.4,20.2,480.5,25.0,271.7,14.1,140.9,7.3,1922.8,100.0
1998,,271.1,13.8,390.8,19.9,399.7,20.4,494.1,25.2,268.7,13.7,137.0,7.0,1961.5,100.0
1999,,268.9,13.5,399.0,20.0,424.7,21.2,502.9,25.2,269.7,13.5,133.8,6.7,1998.9,100.0
2000,,272.2,13.4,417.6,20.5,436.4,21.4,515.1,25.3,266.3,13.1,129.4,6.4,2037.0,100.0
2001,,286.4,13.9,442.6,21.5,445.2,21.7,513.2,25.0,249.9,12.2,117.4,5.7,2054.5,100.0
2002,,289.3,13.9,458.5,22.0,458.3,22.0,519.2,25.0,248.3,11.9,106.9,5.1,2080.5,100.0
2003,,308.6,14.6,481.8,22.8,476.2,22.5,511.7,24.2,234.1,11.1,101.6,4.8,2114.0,100.0
2004,,303.2,14.2,504.6,23.6,493.6,23.1,512.8,24.0,232.1,10.8,94.2,4.4,2140.5,100.0
2005,,346.6,15.8,524.0,23.8,504.6,23.0,511.8,23.3,219.5,10.0,90.6,4.1,2197.1,100.0
