"Table 210-06821 : Labour force and labour force participation rate by District Council district, sex and age",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 , , ,Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2)
,,,No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),(%),(%),(%)
Age group,Age group,Age group,15 - 24,25 - 54,25 - 54,25 - 54,25 - 54,55 and over,Overall,15 - 24,25 - 54,25 - 54,25 - 54,25 - 54,55 and over,Overall
Age group,Age group,Age group,,25 - 34,35 - 44,45 - 54,Overall,,,,25 - 34,35 - 44,45 - 54,Overall,,
Year,District Council district (DCD),Sex,,,,,,,,,,,,,,
2001,Central and Western,Male,5.3,20.3,23.4,19.3,63.1,9.4,77.8,38.8,96.6,97.4,95.0,96.4,43.3,77.1
2001,Central and Western,Female,6.9,24.4,24.4,12.7,61.5,3.4,71.9,43.8,85.7,75.6,60.7,75.3,15.2,59.8
2001,Central and Western,Both sexes,12.3,44.7,47.8,32.1,124.6,12.8,149.7,41.5,90.3,84.9,77.6,84.7,28.9,67.7
2001,Wan Chai (3),Male,2.6,12.2,13.9,12.7,38.8,5.6,46.9,33.9,98.2,96.8,94.6,96.5,34.0,73.2
2001,Wan Chai (3),Female,4.6,16.3,14.6,7.6,38.5,2.4,45.5,45.8,85.6,75.5,58.7,75.0,12.0,56.1
2001,Wan Chai (3),Both sexes,7.1,28.5,28.5,20.3,77.3,7.9,92.4,40.6,90.6,84.6,76.9,84.4,22.0,63.7
2001,Eastern (3),Male,14.6,42.0,55.4,44.5,141.9,19.3,175.8,41.6,96.7,98.2,93.8,96.4,32.6,72.8
2001,Eastern (3),Female,16.7,49.5,47.7,29.2,126.4,6.9,149.9,42.9,85.4,71.4,61.7,73.4,10.4,54.0
2001,Eastern (3),Both sexes,31.2,91.5,103.1,73.7,268.3,26.2,325.7,42.3,90.3,83.7,77.8,84.0,20.8,62.8
2001,Southern,Male,8.1,18.5,26.9,19.8,65.2,7.2,80.4,42.8,96.4,96.8,92.5,95.3,30.4,72.6
2001,Southern,Female,8.4,23.3,22.6,11.2,57.1,2.7,68.2,46.0,85.4,69.5,57.1,71.9,10.5,55.1
2001,Southern,Both sexes,16.5,41.8,49.5,31.0,122.3,9.9,148.6,44.4,89.9,82.1,75.6,82.8,19.9,63.4
2001,Yau Tsim Mong,Male,7.2,22.9,23.9,20.2,67.0,12.4,86.6,43.5,97.9,96.8,92.1,95.7,37.3,72.3
2001,Yau Tsim Mong,Female,7.5,21.4,17.1,10.7,49.2,3.3,60.0,44.1,80.6,63.5,52.7,66.6,10.9,49.6
2001,Yau Tsim Mong,Both sexes,14.7,44.3,41.0,30.9,116.2,15.7,146.6,43.8,88.7,79.4,73.1,80.8,24.7,60.9
2001,Sham Shui Po,Male,9.3,24.1,30.0,26.2,80.3,12.1,101.6,42.2,96.9,96.1,92.0,95.0,29.8,69.1
2001,Sham Shui Po,Female,8.1,22.0,20.9,15.6,58.5,3.1,69.7,40.8,77.9,62.4,56.9,65.6,7.6,46.6
2001,Sham Shui Po,Both sexes,17.4,46.1,50.8,41.8,138.7,15.2,171.3,41.6,86.8,78.7,74.8,79.9,18.7,57.7
2001,Kowloon City,Male,8.5,26.7,33.0,24.5,84.3,14.3,107.1,39.7,97.2,97.9,90.8,95.5,35.5,71.4
2001,Kowloon City,Female,9.1,30.6,25.5,14.9,71.0,4.4,84.5,41.1,83.0,65.6,50.9,67.6,10.2,49.6
2001,Kowloon City,Both sexes,17.6,57.4,58.5,39.5,155.3,18.7,191.6,40.4,89.1,80.6,70.0,80.3,22.5,59.8
2001,Wong Tai Sin,Male,12.4,30.8,46.4,25.7,103.0,11.9,127.3,45.9,96.1,97.6,91.2,95.5,24.6,69.5
2001,Wong Tai Sin,Female,12.2,28.9,29.5,12.9,71.3,3.2,86.7,45.4,79.8,65.9,48.7,66.4,5.8,45.8
2001,Wong Tai Sin,Both sexes,24.6,59.7,75.9,38.6,174.3,15.1,214.0,45.7,87.5,82.3,70.6,81.0,14.6,57.4
2001,Kwun Tong,Male,17.4,40.0,50.2,34.9,125.0,20.7,163.2,45.9,96.3,95.0,93.1,94.9,31.8,69.5
2001,Kwun Tong,Female,16.5,39.7,34.0,21.1,94.8,5.7,117.0,46.4,81.8,63.5,54.1,67.2,8.8,48.4
2001,Kwun Tong,Both sexes,34.0,79.6,84.2,55.9,219.8,26.4,280.2,46.2,88.5,79.2,73.2,80.6,20.3,58.8
2001,Kwai Tsing,Male,15.8,40.7,39.7,30.0,110.4,17.9,144.1,44.9,97.2,97.1,93.9,96.2,33.5,70.9
2001,Kwai Tsing,Female,15.9,34.4,27.2,15.4,77.1,4.7,97.7,46.1,82.8,61.2,47.4,65.0,10.1,48.9
2001,Kwai Tsing,Both sexes,31.7,75.1,66.9,45.5,187.4,22.6,241.7,45.5,90.0,78.4,70.5,80.3,22.6,60.0
2001,Tsuen Wan,Male,6.7,20.3,27.5,17.2,65.0,8.0,79.7,43.9,97.6,98.0,93.3,96.6,32.4,74.3
2001,Tsuen Wan,Female,6.8,24.2,20.0,9.4,53.6,2.0,62.4,40.5,85.1,69.7,49.0,70.2,7.9,52.7
